    ,  1  ,  2  ,  3  ,  4  ,  5  ,  6  ,  7  ,  8  ,  9  , 10  , 11  , 12  , 13  , 14  , 15  , 16  , 17  , 18  , 19  , 20  , 21  , 22  , 23  , 24 
  A ,  54 ,  64 , 150 , 355 , 863 ,1572 ,3384 ,4160 ,4942 ,5330 ,4224 ,  18 ,  22 ,  16 ,  54 ,  64 , 278 ,3676 ,4755 ,5804 ,5442 ,5082 ,4757 ,5114 
  B ,  40 ,  92 , 142 , 318 , 665 ,1329 ,2640 ,3795 ,4970 ,4228 ,4519 ,  27 ,  12 ,  23 ,  40 ,  74 , 278 ,3083 ,4925 ,4476 ,6139 ,4891 ,5147 , 127 
  C ,5177 ,4423 ,4799 ,4445 ,4646 ,4321 ,4944 ,4330 ,4447 ,4784 ,4800 , 367 , 847 ,1635 ,3001 ,4259 ,4250 ,5139 ,4483 ,5233 ,4835 ,5563 ,4342 ,5761 
  D ,4378 ,4401 ,4596 ,4823 ,4991 ,4995 ,4623 ,4703 ,5113 ,4291 ,4490 , 330 , 841 ,1676 ,3317 ,4606 ,4905 ,5004 ,5876 ,4830 ,5616 ,5336 ,4864 , 315 
  E ,4479 ,4397 ,4876 ,4636 ,4435 ,4743 ,4682 ,4467 ,4932 ,4138 ,4275 , 179 , 370 , 651 ,1408 ,3090 ,3794 ,4894 ,4703 ,5295 ,4705 ,5400 , 280 ,4392 
  F ,4629 ,4625 ,4799 ,4827 ,4580 ,5844 ,4817 ,4510 ,4859 ,5314 ,4523 , 197 , 336 , 766 ,1458 ,3096 ,4324 ,4682 ,5280 ,5362 ,4972 ,5379 , 970 , 376 
  G ,2872 ,3865 ,4193 ,4720 ,5289 ,4694 ,4860 ,4471 ,4609 ,4453 ,4884 ,4768 ,4374 ,4744 ,4535 ,5036 ,5095 ,5035 ,5006 ,5132 ,5481 ,4891 , 198 ,4496 
  H ,3277 ,4059 ,4707 ,4797 ,5065 ,4951 ,5078 ,5169 ,4973 ,5086 ,3969 ,5414 ,4719 ,5158 ,4810 ,5130 ,5436 ,5084 ,5660 ,5044 ,5641 ,5455 , 935 , 326 
  I ,4902 ,4757 ,5072 ,4598 ,4979 ,4794 ,4643 ,4972 ,4863 ,4817 ,5336 ,4806 ,5672 ,5234 ,5397 ,5325 ,5534 ,5047 ,5208 ,4991 ,5260 ,5303 ,5044 ,5152 
  J ,5141 ,5389 ,4472 ,5107 ,5600 ,5187 ,4946 ,5311 ,4202 ,4776 ,5090 ,4886 ,5774 ,5696 ,5502 ,5031 ,5344 ,5530 ,5831 ,5307 ,5641 ,5608 ,4962 , 388 
  K ,4855 ,5127 ,4815 ,5151 ,5463 ,5170 ,4780 ,5050 ,4972 ,4889 ,5011 ,2157 ,3586 ,4364 ,4242 ,5160 ,5049 ,5362 ,5352 ,5596 ,4651 ,5316 ,4445 ,4956 
  L ,4953 ,4826 ,4827 ,5083 ,5083 ,5699 ,5291 ,5275 ,5015 ,5376 ,4924 ,2118 ,3406 ,4137 ,4575 ,4755 ,5070 ,5512 ,4946 ,5244 ,5268 ,5004 ,4904 , 340 
  M ,5050 ,4918 ,5159 ,5025 ,4714 ,4885 ,4812 ,4872 ,5073 ,4854 ,4861 ,4976 ,5432 ,4791 ,5152 ,4944 ,5750 ,5289 ,4838 ,5539 ,5449 ,5887 ,5268 ,4653 
  N ,4635 ,5187 ,4689 ,5034 ,5509 ,5465 ,5394 ,4972 ,5433 ,4705 ,4900 ,5042 ,4982 ,5447 ,5048 ,5576 ,5619 ,5797 ,5193 ,5187 ,5651 ,5706 ,5085 , 251 
  O , 211 , 477 , 675 ,1580 ,2968 ,4112 ,4700 ,4735 ,4853 ,4315 ,4792 , 135 , 344 , 534 ,1277 ,3698 ,5028 ,5442 ,5277 ,4830 ,5252 ,5232 ,4464 ,4457 
  P , 170 , 323 , 640 ,1748 ,3146 ,3262 ,4835 ,4673 ,4621 ,4533 ,4671 ,  76 , 170 , 317 ,1248 ,4053 ,4687 ,5333 ,5273 ,4975 ,5541 ,5343 ,4810 , 282 

