    ,  1   ,  2  ,  3  ,  4  ,  5  ,  6  ,  7  ,  8  ,  9  , 10  , 11  , 12  , 13  , 14  , 15  , 16  , 17  , 18  , 19  , 20  , 21  , 22  , 23  , 24 
  A ,   24 ,  32 ,  89 , 190 , 508 , 883 ,2034 ,2179 ,2661 ,2736 ,2709 , 638 , 995 ,1895 ,1925 ,2704 ,2884 ,2981 ,2930 ,2504 ,3019 ,3030 ,  52 ,2942 
  B ,   22 ,  40 ,  77 , 194 , 341 ,1150 ,1646 ,2591 ,2844 ,2384 ,2826 , 462 ,1179 ,1932 ,2202 ,1994 ,3240 ,3042 ,2225 ,3148 ,2788 ,3243 , 321 ,  79 
  C ,   60 ,  86 , 194 , 393 , 823 ,1759 ,2391 ,2653 ,1968 ,2647 ,2272 , 989 ,1797 ,2511 ,2874 ,2401 ,3179 ,3042 ,3086 ,2679 ,2774 ,2840 ,  67 ,3199 
  D ,  106 , 100 , 233 , 367 ,1104 ,1486 ,3086 ,2306 ,2415 ,2217 ,1956 ,1156 ,2096 ,2257 ,2962 ,2630 ,2641 ,3046 ,2757 ,2184 ,1907 ,2274 , 405 , 113 
  E ,13272 ,1960 ,2749 ,2465 ,2060 ,2074 ,2132 ,2078 ,2523 ,2144 ,2387 , 121 , 270 , 585 ,1171 ,1557 ,1956 ,2241 ,2387 ,2251 ,2288 ,2162 ,  88 ,2427 
  F , 3113 ,2832 ,2139 ,2530 ,2497 ,2357 ,2158 ,2635 ,2160 ,2552 ,2475 , 129 , 252 , 594 ,1267 ,1827 ,2187 ,2426 ,2310 ,2292 ,2365 ,1997 , 714 , 215 
  G ,  409 , 891 ,1461 ,2066 ,2355 ,2038 ,2429 ,2417 ,2473 ,2590 ,2210 , 954 ,1660 ,1942 ,2425 ,2688 ,2371 ,2167 ,2546 ,2799 ,2653 ,2599 , 148 ,3136 
  H ,  512 ,1049 ,1558 ,2087 ,2584 ,2417 ,2202 ,2232 ,2396 ,2558 ,2059 ,1141 ,1488 ,2157 ,2108 ,2459 ,2155 ,2192 ,2616 ,2353 ,2684 ,2836 , 711 , 223 
  I , 1939 ,2477 ,2154 ,2287 ,2350 ,2154 ,2780 ,2361 ,2318 ,2118 ,2543 ,  76 , 129 , 201 , 600 ,1028 ,1897 ,2281 ,2406 ,2545 ,2224 ,2663 ,2218 ,2765 
  J , 2264 ,2027 ,2384 ,2498 ,2523 ,2087 ,2432 ,2060 ,2439 ,2314 ,2379 ,  53 ,  94 , 217 , 495 ,1241 ,3741 ,2405 ,4698 ,2322 ,3342 ,2370 ,2533 , 217 
  K , 2379 ,2546 ,2447 ,1849 ,2337 ,2347 ,2427 ,2361 ,2249 ,2283 ,2235 , 868 ,1279 ,1656 ,2323 ,2078 ,2392 ,3943 ,2608 ,2031 ,2451 ,2585 ,2621 ,2481 
  L , 2067 ,2346 ,2326 ,2222 ,2449 ,2339 ,2507 ,1964 ,2219 ,1974 ,2206 , 710 ,1423 ,1730 ,1777 ,2293 ,2306 ,5922 ,2206 ,2547 ,2282 ,2619 ,2477 , 204 
  M , 2444 ,2398 ,2509 ,2178 ,2578 ,2670 ,2028 ,2425 ,2255 ,2660 ,2646 ,2736 ,2264 ,2223 ,2367 ,2461 ,2425 ,2647 ,2520 ,2761 ,2164 ,2792 ,2729 ,2470 
  N , 2406 ,2400 ,2235 ,2708 ,2373 ,2444 ,2463 ,2505 ,2611 ,2612 ,2795 ,2178 ,2262 ,2820 ,2281 ,2196 ,2690 ,2412 ,2420 ,2322 ,2439 ,2966 ,2762 , 113 
  O ,  194 , 277 , 452 , 988 ,1694 ,2283 ,2062 ,2772 ,2118 ,2501 ,2611 , 788 ,1394 ,2166 ,1871 ,2672 ,2725 ,2666 ,2289 ,2899 ,2212 ,2495 ,2348 ,2220 
  P ,  116 , 287 , 638 , 970 ,2020 ,2034 ,2130 ,2192 ,2257 ,2423 ,2389 ,1094 ,1470 ,1960 ,2280 ,2307 ,2652 ,2609 ,2163 ,2712 ,2802 ,2657 ,2568 , 144 

